employeeID,courseId,partner,course,expected_skills,rating,level,certificateType,duration,designation,userSkills,points,department
EMP7294614527264118,Introduction to Marketing,University of Pennsylvania,Introduction to Marketing,"{"" Brand Management"","" Customer Analysis"","" Market Analysis"","" Marketing"","" Marketing Design"","" Product Marketing"","" Product Strategy"","" Strategy"","" Customer Relationship Management"","" Digital Marketing"","" Communication""}",4.8,Mixed,Course,1 - 3 Months,Business Analyst,"['Communication', 'Data Analysis']",216,Core Consulting
EMP9990416797761318,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Backend Developer,"['Node.js', 'Java', 'Databases', 'Python Programming']",173,Full Stack Development
EMP4229590939000998,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,Mixed,Course,1 - 3 Months,Senior Business Analyst,"['Business Analysis', 'Project Management', 'Problem Solving']",112,Core Consulting
EMP4229590939000998,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Senior Business Analyst,"['Business Analysis', 'Project Management', 'Problem Solving']",112,Core Consulting
EMP4229590939000998,Food & Beverage Management,Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Senior Business Analyst,"['Business Analysis', 'Project Management', 'Problem Solving']",112,Core Consulting
EMP4229590939000998,Management of Fashion and Luxury Companies,Università Bocconi,Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,Mixed,Course,1 - 3 Months,Senior Business Analyst,"['Business Analysis', 'Project Management', 'Problem Solving']",112,Core Consulting
EMP4229590939000998,Principles of Management,Johns Hopkins University,Principles of Management,"{"" Leadership and Management"","" Planning"","" Strategy"","" Critical Thinking"","" Operations Management"","" People Management"","" Strategy and Operations"","" Business Communication"","" Business Intelligence"","" Organizational Development"","" Project Management""}",4.7,Mixed,Course,1 - 4 Weeks,Senior Business Analyst,"['Business Analysis', 'Project Management', 'Problem Solving']",112,Core Consulting
EMP4220315377237508,Introduction to Spreadsheets and Models,University of Pennsylvania,Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,Mixed,Course,1 - 4 Weeks,Data Scientist,"['Machine Learning', 'Data Visualization', 'Statistics', 'Python Programming']",194,Data Science
EMP9847792530489914,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Full Stack Developer,"['HTML', 'Databases', 'Node.js', 'React']",236,Full Stack Development
EMP3986627478818034,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,Mixed,Course,1 - 3 Months,Junior Business Analyst,"['Data Analysis', 'Business Analysis']",176,Core Consulting
EMP3986627478818034,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Junior Business Analyst,"['Data Analysis', 'Business Analysis']",176,Core Consulting
EMP3986627478818034,Food & Beverage Management,Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Junior Business Analyst,"['Data Analysis', 'Business Analysis']",176,Core Consulting
EMP3986627478818034,Management of Fashion and Luxury Companies,Università Bocconi,Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,Mixed,Course,1 - 3 Months,Junior Business Analyst,"['Data Analysis', 'Business Analysis']",176,Core Consulting
EMP3986627478818034,Introduction to Spreadsheets and Models,University of Pennsylvania,Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,Mixed,Course,1 - 4 Weeks,Junior Business Analyst,"['Data Analysis', 'Business Analysis']",176,Core Consulting
EMP3543469854195485,Introduction to Spreadsheets and Models,University of Pennsylvania,Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,Mixed,Course,1 - 4 Weeks,Data Analyst,"['SQL', 'Data Analysis', 'Excel', 'Data Visualization']",113,Data Science
EMP5007234682411780,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,Mixed,Course,1 - 3 Months,Business Analyst,"['Business Analysis', 'Communication', 'SQL']",205,Core Consulting
EMP5007234682411780,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Business Analyst,"['Business Analysis', 'Communication', 'SQL']",205,Core Consulting
EMP5007234682411780,Food & Beverage Management,Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Business Analyst,"['Business Analysis', 'Communication', 'SQL']",205,Core Consulting
EMP5007234682411780,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,"{"" Communication"","" SAS (Software)"","" Regulations and Compliance"","" Systems Design"","" System Security"","" Network Architecture"","" Process Analysis"","" Training"","" Decision Making"","" Operating Systems"","" Leadership and Management""}",4.6,Mixed,Course,1 - 3 Months,Business Analyst,"['Business Analysis', 'Communication', 'SQL']",205,Core Consulting
EMP5007234682411780,Management of Fashion and Luxury Companies,Università Bocconi,Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,Mixed,Course,1 - 3 Months,Business Analyst,"['Business Analysis', 'Communication', 'SQL']",205,Core Consulting
EMP4551629061343171,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Frontend Developer,"['CSS', 'React', 'JavaScript', 'Angular']",130,Full Stack Development
EMP5078766272641387,Introduction to Spreadsheets and Models,University of Pennsylvania,Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,Mixed,Course,1 - 4 Weeks,Data Scientist,"['Data Visualization', 'Python Programming', 'Machine Learning', 'Statistics']",231,Data Science
EMP3529425382195435,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,Mixed,Course,1 - 3 Months,Management Consultant,"['Strategy', 'Business Analysis', 'Leadership', 'Project Management']",250,Core Consulting
EMP3529425382195435,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Management Consultant,"['Strategy', 'Business Analysis', 'Leadership', 'Project Management']",250,Core Consulting
EMP3529425382195435,Supply Chain Principles,Georgia Institute of Technology,Supply Chain Principles,"{"" Leadership and Management"","" Supply Chain Systems"","" Supply Chain and Logistics"","" Operations Management"","" Strategy and Operations"","" Inventory Management"","" Planning"","" Transportation Operations Management"","" Material Handling"","" Procurement"","" Supplier Relationship Management"","" Warehouse Management""}",4.6,Mixed,Course,1 - 3 Months,Management Consultant,"['Strategy', 'Business Analysis', 'Leadership', 'Project Management']",250,Core Consulting
EMP3529425382195435,Food & Beverage Management,Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Management Consultant,"['Strategy', 'Business Analysis', 'Leadership', 'Project Management']",250,Core Consulting
EMP3529425382195435,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,"{"" Communication"","" SAS (Software)"","" Regulations and Compliance"","" Systems Design"","" System Security"","" Network Architecture"","" Process Analysis"","" Training"","" Decision Making"","" Operating Systems"","" Leadership and Management""}",4.6,Mixed,Course,1 - 3 Months,Management Consultant,"['Strategy', 'Business Analysis', 'Leadership', 'Project Management']",250,Core Consulting
EMP2857384449857090,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Junior Full Stack Developer,"['React', 'JavaScript', 'CSS', 'HTML']",159,Full Stack Development
EMP6195067790093933,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Full Stack Developer,"['HTML', 'CSS', 'Databases', 'Node.js', 'JavaScript']",285,Full Stack Development
EMP1110852075794244,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,Mixed,Course,1 - 3 Months,Strategy Consultant,"['Business Analysis', 'Data Analysis']",138,Core Consulting
EMP1110852075794244,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Strategy Consultant,"['Business Analysis', 'Data Analysis']",138,Core Consulting
EMP1110852075794244,Food & Beverage Management,Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Strategy Consultant,"['Business Analysis', 'Data Analysis']",138,Core Consulting
EMP1110852075794244,Management of Fashion and Luxury Companies,Università Bocconi,Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,Mixed,Course,1 - 3 Months,Strategy Consultant,"['Business Analysis', 'Data Analysis']",138,Core Consulting
EMP1110852075794244,Introduction to Spreadsheets and Models,University of Pennsylvania,Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,Mixed,Course,1 - 4 Weeks,Strategy Consultant,"['Business Analysis', 'Data Analysis']",138,Core Consulting
EMP3816350422398154,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Junior Full Stack Developer,"['React', 'HTML']",194,Full Stack Development
EMP3497465469556872,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,Mixed,Course,1 - 3 Months,Senior Business Analyst,"['Communication', 'Business Analysis', 'Data Analysis', 'Problem Solving', 'SQL']",240,Core Consulting
EMP3497465469556872,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Senior Business Analyst,"['Communication', 'Business Analysis', 'Data Analysis', 'Problem Solving', 'SQL']",240,Core Consulting
EMP3497465469556872,Food & Beverage Management,Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Senior Business Analyst,"['Communication', 'Business Analysis', 'Data Analysis', 'Problem Solving', 'SQL']",240,Core Consulting
EMP3497465469556872,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,"{"" Communication"","" SAS (Software)"","" Regulations and Compliance"","" Systems Design"","" System Security"","" Network Architecture"","" Process Analysis"","" Training"","" Decision Making"","" Operating Systems"","" Leadership and Management""}",4.6,Mixed,Course,1 - 3 Months,Senior Business Analyst,"['Communication', 'Business Analysis', 'Data Analysis', 'Problem Solving', 'SQL']",240,Core Consulting
EMP3497465469556872,Management of Fashion and Luxury Companies,Università Bocconi,Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,Mixed,Course,1 - 3 Months,Senior Business Analyst,"['Communication', 'Business Analysis', 'Data Analysis', 'Problem Solving', 'SQL']",240,Core Consulting
EMP6786023882086772,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Junior Full Stack Developer,"['React', 'CSS', 'JavaScript']",279,Full Stack Development
EMP7454911897560794,HTML CSS and Javascript for Web Developers,Johns Hopkins University,HTML CSS and Javascript for Web Developers,"{"" Front-End Web Development"","" HTML and CSS"","" Javascript"","" Web Development""}",4.7,Mixed,Course,1 - 3 Months,Senior Full Stack Developer,"['HTML', 'React']",150,Full Stack Development
EMP6247866178712603,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,The Manager's Toolkit: A Practical Guide to Managing People at Work,"{"" Human Resources"","" Leadership and Management"","" People Management"","" Conflict Management"","" Decision Making"","" Human Resources Operations"","" People Analysis"","" Performance Management"","" Recruitment"","" Business Analysis"","" Employee Relations"","" Leadership Development"","" Organizational Development"","" People Development""}",4.7,Mixed,Course,1 - 3 Months,Business Analyst,"['SQL', 'Data Analysis', 'Business Analysis', 'Problem Solving', 'Communication']",115,Core Consulting
EMP6247866178712603,Human Resources Analytics,"University of California, Irvine",Human Resources Analytics,"{"" Human Resources"","" People Analysis"","" Business Analysis"","" Employee Relations"","" Human Resources Operations"","" Leadership and Management"","" People Development"","" Communication"","" Data Visualization"","" Influencing"","" Storytelling"","" Data Analysis""}",4.6,Mixed,Course,1 - 4 Weeks,Business Analyst,"['SQL', 'Data Analysis', 'Business Analysis', 'Problem Solving', 'Communication']",115,Core Consulting
EMP6247866178712603,Food & Beverage Management,Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,Mixed,Course,1 - 3 Months,Business Analyst,"['SQL', 'Data Analysis', 'Business Analysis', 'Problem Solving', 'Communication']",115,Core Consulting
EMP6247866178712603,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,Become a CBRS Certified Professional Installer by Google,"{"" Communication"","" SAS (Software)"","" Regulations and Compliance"","" Systems Design"","" System Security"","" Network Architecture"","" Process Analysis"","" Training"","" Decision Making"","" Operating Systems"","" Leadership and Management""}",4.6,Mixed,Course,1 - 3 Months,Business Analyst,"['SQL', 'Data Analysis', 'Business Analysis', 'Problem Solving', 'Communication']",115,Core Consulting
